,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
18,Peaklist_EXP1_POS,0.6116279069767442,0.04605394975551658,60,129,hepatocellular carcinoma,cancer,1586,c8,1072,2,189,31,MTBLS17,63,126
19,Peaklist_EXP2_POS,0.5196078431372549,0.04999038738816457,13,50,hepatocellular carcinoma,cancer,3230,c9,0,2,63,0,MTBLS17,20,43
20,Peaklist_EXP3_POS,0.9166666666666666,0.11785113019775792,5,5,hepatocellular carcinoma,cancer,612,c10,46,2,10,0,MTBLS17,2,8
21,Peaklist_EXP1_NEG,0.6107915136678906,0.04978938649745767,59,129,hepatocellular carcinoma,cancer,941,c11,52,2,188,159,MTBLS17,62,126
22,Peaklist_EXP2_NEG,0.7287377450980391,0.04160976867737736,13,50,hepatocellular carcinoma,cancer,1209,c12,37,2,63,0,MTBLS17,20,43
23,Peaklist_EXP3_NEG,0.9166666666666666,0.11785113019775792,5,5,hepatocellular carcinoma,cancer,391,c13,54,2,10,0,MTBLS17,2,8
24,Exp1F_POS,0.6805555555555557,0.023974297566655894,20,25,hepatocellular carcinoma,cancer,1526,d0,8,2,45,2,MTBLS19,14,31
25,Exp1R_POS,0.6947751322751322,0.04934013147193822,20,25,hepatocellular carcinoma,cancer,1461,d1,98,2,45,2,MTBLS19,14,31
26,Exp2F_POS,0.8267195767195767,0.06711578166652044,20,25,hepatocellular carcinoma,cancer,1542,d2,259,2,45,12,MTBLS19,14,31
27,Exp2R_POS,0.6031746031746031,0.12498425196844139,20,25,hepatocellular carcinoma,cancer,1455,d3,54,2,45,0,MTBLS19,14,31
28,Exp1F_NEG,0.7711640211640213,0.15149112344500343,20,25,hepatocellular carcinoma,cancer,883,d4,224,2,45,2,MTBLS19,14,31
29,Exp1R_NEG,0.8151455026455027,0.018724057760439224,20,25,hepatocellular carcinoma,cancer,827,d5,90,2,45,2,MTBLS19,14,31
30,Exp2F_NEG,0.7053571428571429,0.05837178842601448,20,25,hepatocellular carcinoma,cancer,825,d6,14,2,45,15,MTBLS19,14,31
31,Exp2R_NEG,0.7824074074074074,0.08184507108101176,20,25,hepatocellular carcinoma,cancer,760,d7,156,2,45,0,MTBLS19,14,31
32,IPO_aligned_MTBLS19_neg_exp1_F,0.8587962962962963,0.09226486786692761,20,25,hepatocellular carcinoma,cancer,4843,d8,15,2,45,4,MTBLS19,14,31
33,IPO_aligned_MTBLS19_neg_exp1_R,0.7093253968253969,0.052363663573002615,20,25,hepatocellular carcinoma,cancer,4843,d9,76,2,45,3,MTBLS19,14,31
34,IPO_aligned_MTBLS19_neg_exp2_F,0.8316798941798943,0.10456535360396974,20,25,hepatocellular carcinoma,cancer,4414,d10,195,2,45,0,MTBLS19,14,31
35,IPO_aligned_MTBLS19_neg_exp2_R,0.8191137566137566,0.051691067122985365,20,25,hepatocellular carcinoma,cancer,4414,d11,517,2,45,1,MTBLS19,14,31
36,IPO_aligned_MTBLS19_pos_exp1_F,0.6746031746031745,0.10662721303606668,20,25,hepatocellular carcinoma,cancer,7931,d12,109,2,45,2,MTBLS19,14,31
37,IPO_aligned_MTBLS19_pos_exp1_R,0.7453703703703703,0.0866427359380238,20,25,hepatocellular carcinoma,cancer,7931,d13,14,2,45,1,MTBLS19,14,31
38,IPO_aligned_MTBLS19_pos_exp2_F,0.9722222222222223,0.03928371006591927,20,25,hepatocellular carcinoma,cancer,8753,d14,209,2,45,19,MTBLS19,14,31
39,IPO_aligned_MTBLS19_pos_exp2_R,0.9004629629629629,0.026795918756458863,20,25,hepatocellular carcinoma,cancer,8753,d15,43,2,45,2,MTBLS19,14,31
40,IPO_aligned_MTBLS19_neg_all_F_R,0.7566661279896575,0.05842880620364669,40,50,hepatocellular carcinoma,cancer,5163,d16,858,2,90,207,MTBLS19,29,61
41,IPO_aligned_MTBLS19_neg_all_R_R,0.7887982115923292,0.05452582577600157,40,50,hepatocellular carcinoma,cancer,5163,d17,1346,2,90,145,MTBLS19,29,61
42,IPO_aligned_MTBLS19_pos_all_F_R,0.7447613660848956,0.11582467812581908,40,50,hepatocellular carcinoma,cancer,8623,d18,1223,2,90,175,MTBLS19,29,61
43,IPO_aligned_MTBLS19_pos_all_R_R,0.7044952596423185,0.017460625509129184,40,50,hepatocellular carcinoma,cancer,8623,d19,169,2,90,112,MTBLS19,29,61
44,m_oxylipin_chronic_hep_b,0.6524405546144677,0.07322643909697846,67,19,chronic hepatitis B,infectious,35,e0,23,2,86,1,MTBLS253,28,58
45,m_mtbls266_NEG_mass_spectrometry_v2_maf,0.7733333333333334,0.08219218670625304,15,15,Age related metabolomics,other,55,f0,48,2,30,0,MTBLS266,10,20
46,m_mtbls266_POS_mass_spectrometry_v2_maf,0.9866666666666667,0.018856180831641232,15,15,Age related metabolomics,other,81,f1,12,2,30,4,MTBLS266,10,20
47,IPO_aligned_MTBLS266_neg,0.8266666666666668,0.018856180831641256,15,15,Age related metabolomics,other,15961,f2,238,2,30,158,MTBLS266,10,20
48,IPO_aligned_MTBLS266_pos,0.8533333333333334,0.09977753031397181,15,15,Age related metabolomics,other,21030,f3,38,2,30,0,MTBLS266,10,20
49,m_chronic_hep_b_POS,0.9278812974465148,0.03620065037792516,69,19,chronic hepatitis B,infectious,140,g0,5,2,88,40,MTBLS279,29,59
50,m_chronic_hep_b_NEG,0.9026915113871636,0.0770416344766896,69,19,chronic hepatitis B,infectious,59,g1,20,2,88,26,MTBLS279,29,59
51,m_mtbls28_NEG_v2_maf,0.8440173353574277,0.013910299879747321,469,536,Lung cancer,cancer,1359,h0,249,2,1005,666,MTBLS28,334,671
52,m_mtbls28_POS_v2_maf,0.8557185078654856,0.011609352879274223,469,536,Lung cancer,cancer,1807,h1,253,2,1005,921,MTBLS28,334,671
53,IPO_aligned_MTBLS28_neg,0.842458167877662,0.021897308680598266,469,536,Lung cancer,cancer,4349,h2,65,2,1005,1259,MTBLS28,334,671
54,IPO_aligned_MTBLS28_pos,0.8628526477344649,0.012357811613631295,469,536,Lung cancer,cancer,5559,h3,801,2,1005,2105,MTBLS28,334,671
55,m_GC_nmfi_and_bsi_diagnosis_v2_maf,0.670875420875421,0.18308032431531732,34,27,non-malaria febrile illness,infectious,146,i0,137,2,61,0,MTBLS315,20,41
56,m_LC_nmfi_and_bsi_diagnosis_v2_maf,0.8108866442199775,0.06936263021781268,34,27,non-malaria febrile illness,infectious,8207,i1,1116,2,61,0,MTBLS315,20,41
57,m_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf,0.9354657687991023,0.025801490308805037,34,27,non-malaria febrile illness,infectious,12385,i2,417,2,61,349,MTBLS315,20,41
58,m_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf,0.8664421997755332,0.10705211752781528,34,27,non-malaria febrile illness,infectious,7617,i3,46,2,61,667,MTBLS315,20,41
59,IPO_aligned_MTBLS315_mzData,0.6464646464646465,0.021820675752215055,34,27,non-malaria febrile illness,infectious,2804,i4,856,2,61,0,MTBLS315,20,41
60,IPO_aligned_MTBLS315_mzXML,0.867845117845118,0.04703271058821207,34,27,non-malaria febrile illness,infectious,8795,i5,116,2,61,23,MTBLS315,20,41
61,IPO_aligned_MTBLS315_n_mzML,0.8692480359147025,0.041244836868715995,34,27,non-malaria febrile illness,infectious,22913,i6,69,2,61,48,MTBLS315,20,41
62,IPO_aligned_MTBLS315_p_mzML,0.7985409652076317,0.05674729890104192,34,27,non-malaria febrile illness,infectious,25234,i7,1564,2,61,50,MTBLS315,20,41
63,XCMS-Report-annotated-SingleClass-CDF.,0.4941077441077441,0.07770595894171232,34,27,non-malaria febrile illness,infectious,5889,i8,349,2,61,0,MTBLS315,20,41
64,XCMS-Report-annotated-SingleClass-n_mzML.,0.8841189674523008,0.07521420463822905,34,27,non-malaria febrile illness,infectious,3299,i9,409,2,61,17,MTBLS315,20,41
65,DEMO_neg-norm-metaboAnalystInput,0.4489688316536021,0.05053169042918662,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j0,172,3,285,10,MTBLS352,94,191
66,DEMO_pos-norm-metaboAnalystInput,0.4435233015047341,0.03622078621126442,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j1,161,3,282,3,MTBLS352,93,189
67,IPO_aligned_MTBLS352_neg,0.5205100379815518,0.04068431776621946,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,2724,j2,1277,3,288,7,MTBLS352,95,193
68,m_cap_metabolite_profiling_mass_spectrometry_v2_maf,0.9241506375814886,0.03395533951683305,142,97,Pneumonia - Community acquired,respiratory,7,k0,5,2,239,7,MTBLS354,79,160
69,m_cap_metabolite_profiling_mass_spectrometry-1_v2_maf,0.8656332831864747,0.017915506323972243,142,97,Pneumonia - Community acquired,respiratory,5,k1,3,2,239,5,MTBLS354,79,160
70,IPO_aligned_MTBLS354_neg,0.9853320438426821,0.010388706024707919,142,97,Pneumonia - Community acquired,respiratory,12041,k2,118,2,239,5766,MTBLS354,79,160
71,IPO_aligned_MTBLS354_pos,0.9880431083888531,0.015063026940761394,142,97,Pneumonia - Community acquired,respiratory,24213,k3,195,2,239,12610,MTBLS354,79,160
72,m_CER_mass_spectrometry_v4,0.2772750125691302,0.03516347560990867,142,97,COPD,respiratory,56,l0,77,4,155,0,MTBLS358,51,104
73,m_EICO_mass_spectrometry_v4,0.30266465560583206,0.06150300308962931,142,97,COPD,respiratory,17,l1,37,4,155,5,MTBLS358,51,104
74,m_SHOT_mass_spectrometry_v4,0.3034188034188034,0.037863344330490066,142,97,COPD,respiratory,123,l2,221,4,155,0,MTBLS358,51,104
75,m_TAG_mass_spectrometry_v4,0.23227752639517343,0.03147607353651463,142,97,COPD,respiratory,23,l3,50,4,155,6,MTBLS358,51,104
76,IPO_aligned_MTBLS364_hil_neg,0.9947827084049994,0.0040272008551395615,53,55,smoker v. nonsmoker,other,5951,m0,159,2,108,3870,MTBLS364,35,73
77,IPO_aligned_MTBLS364_hil_pos,0.9958847736625515,0.0058198088986546855,53,55,smoker v. nonsmoker,other,17212,m1,204,2,108,10811,MTBLS364,35,73
78,IPO_aligned_MTBLS364_lip_neg,0.9845679012345679,0.021824283369955216,53,55,smoker v. nonsmoker,other,761,m2,33,2,108,474,MTBLS364,35,73
79,IPO_aligned_MTBLS364_lip_pos,0.9969135802469135,0.004364856673991053,53,55,smoker v. nonsmoker,other,6168,m3,28,2,108,3689,MTBLS364,35,73
80,IPO_aligned_MTBLS408_neg,0.8962962962962963,0.051873011555589925,45,45,psoriasis,autoimmune,2015,n0,29,2,90,305,MTBLS408,30,60
81,IPO_aligned_MTBLS408_pos,0.9555555555555556,0.03925227051701263,45,45,psoriasis,autoimmune,3106,n1,17,2,90,303,MTBLS408,30,60
82,m_typhoid_carriage_metabolite_profiling_mass_spectrometry_v2_maf,0.9047619047619048,0.0700933402089512,17,20,typhoid carriage,infectious,198,o0,111,2,37,22,MTBLS579,11,26
83,IPO_aligned_MTBLS72_neg,0.7511350059737157,0.04481722191391442,36,91,Alzheimers,neurological,6417,p0,399,2,127,1393,MTBLS72,42,85
84,IPO_aligned_MTBLS72_pos,0.7860215053763442,0.026833090222392164,36,91,Alzheimers,neurological,4529,p1,1543,2,127,3453,MTBLS72,42,85
85,IPO_aligned_MTBLS92,0.8737934362934362,0.010021502475613888,111,336,Breast Cancer,cancer,5875,q0,12,2,447,5546,MTBLS92,149,298
86,Author_data,0.938465250965251,0.012702008328926569,111,336,Breast Cancer,cancer,240,q1,43,2,447,195,MTBLS92,149,298
87,02Feb10-21-r0,0.6481481481481483,0.15930231976004866,111,336,t1 diabetes,metabolic,18220,r0,17,3,21,0,ST000045,6,15
88,11Feb10-21-r0,0.8148148148148149,0.1385799032138497,111,336,t1 diabetes,metabolic,1910,r1,297,3,21,0,ST000045,6,15
89,11March10-21-r0,0.46296296296296297,0.18332398030762342,111,336,t1 diabetes,metabolic,31334,r2,149,3,21,0,ST000045,6,15
90,17March10-21-r0,0.5370370370370371,0.09442628728875527,111,336,t1 diabetes,metabolic,21031,r3,71,3,21,0,ST000045,6,15
91,IPO_aligned_ST000045_2feb_pos,0.6296296296296297,0.05237828008789238,111,336,t1 diabetes,metabolic,19257,r4,535,3,21,0,ST000045,6,15
92,IPO_aligned_ST000045_11feb_neg,0.7037037037037037,0.05237828008789243,111,336,t1 diabetes,metabolic,3255,r5,418,3,21,175,ST000045,6,15
93,IPO_aligned_ST000045_11mar_pos,0.6481481481481481,0.11415581486979585,111,336,t1 diabetes,metabolic,20154,r6,84,3,21,0,ST000045,6,15
94,IPO_aligned_ST000045_17mar_neg,0.8148148148148149,0.1385799032138497,111,336,t1 diabetes,metabolic,47102,r7,133,3,21,0,ST000045,6,15
95,AN000076,0.35555555555555557,0.08314794192830982,111,336,Alzheimer's,neurological,11203,s0,840,3,45,0,ST000046,15,30
96,AN000077,0.4222222222222222,0.11331154474650633,111,336,Alzheimer's,neurological,17707,s1,265,3,45,0,ST000046,15,30
97,AN000078,0.48888888888888893,0.16629588385661961,111,336,Alzheimer's,neurological,6494,s2,110,3,45,0,ST000046,15,30
98,AN000079,0.4222222222222222,0.1257078722109418,111,336,Alzheimer's,neurological,11369,s3,914,3,45,0,ST000046,15,30
99,IPO_aligned_ST000046_20120606_neg_hilic,0.4222222222222222,0.08314794192830981,111,336,Alzheimer's,neurological,18223,s4,865,3,45,0,ST000046,15,30
100,IPO_aligned_ST000046_20120613_neg_hilic,0.4222222222222222,0.11331154474650633,111,336,Alzheimer's,neurological,9685,s5,403,3,45,2,ST000046,15,30
101,IPO_aligned_ST000046_20120618_pos_c18,0.5555555555555555,0.06285393610547088,111,336,Alzheimer's,neurological,12009,s6,1776,3,45,0,ST000046,15,30
102,IPO_aligned_ST000046_20120620_neg_c18,0.37777777777777777,0.03142696805273547,111,336,Alzheimer's,neurological,13671,s7,909,3,45,0,ST000046,15,30
103,IPO_aligned_ST000046_20120625_pos_c18,0.6444444444444444,0.06285393610547088,111,336,Alzheimer's,neurological,6167,s8,786,3,45,0,ST000046,15,30
104,XCMS-Report-annotated-SingleClass.04jun12,0.5333333333333333,0.05443310539518172,111,336,Alzheimer's,neurological,2096,s9,485,3,45,8,ST000046,15,30
105,XCMS-Report-annotated-SingleClass.11jun12,0.8222222222222223,0.08314794192830982,111,336,Alzheimer's,neurological,1003,s10,254,3,45,14,ST000046,15,30
106,XCMS-Report-annotated-SingleClass.27jun12,0.5555555555555555,0.03142696805273544,111,336,Alzheimer's,neurological,942,s11,317,3,45,2,ST000046,15,30
107,AN000101,0.9208912037037038,0.01738212462852307,47,47,Depression,neurological,167,t0,158,2,94,72,ST000063,30,64
108,XCMS-Report-annotated-SingleClass.,0.7423406862745098,0.08960225172663693,49,48,Depression,neurological,832,t1,749,2,97,359,ST000063,32,65
109,XCMS-Report-annotated-SingleClass-GCTOF.,0.7639399509803922,0.13692646641212283,49,48,Depression,neurological,3840,t2,1459,2,97,163,ST000063,32,65
110,AN000452,0.4958511142721669,0.02497840455116063,49,48,Colorectal Cancer,cancer,113,u0,234,3,224,27,ST000284,74,150
111,AN000525,0.6774410774410775,0.15787189072080832,49,48,"minimal change disease, focal segmental sclerosis",glomerular,179,v0,111,3,30,50,ST000329,9,21
112,AN000526,0.6077441077441077,0.12165556744201797,49,48,"minimal change disease, focal segmental sclerosis",glomerular,108,v1,8,3,30,31,ST000329,9,21
113,IPO_aligned_ST000329_pos,0.5306397306397307,0.09809023361914396,49,48,"minimal change disease, focal segmental sclerosis",glomerular,17498,v2,239,3,30,616,ST000329,9,21
114,IPO_aligned_ST000329_neg,0.6239057239057239,0.1273858012303117,49,48,"minimal change disease, focal segmental sclerosis",glomerular,6256,v3,485,3,30,236,ST000329,9,21
115,AN000580,0.928911680911681,0.0339106850744638,135,76,Breast Cancer,cancer,128,w0,44,2,211,51,ST000355,70,141
116,AN000581,0.9634074074074075,0.018311734377502564,135,76,Breast Cancer,cancer,99,w1,33,2,211,47,ST000355,70,141
117,AN000582,1.0,0.0,103,31,Breast Cancer,cancer,101,x0,1,2,134,69,ST000356,44,90
118,AN000583,1.0,0.0,103,31,Breast Cancer,cancer,171,x1,9,2,134,115,ST000356,44,90
119,AN000615,0.5354126055880443,0.04701375157072024,56,36,interstitial cystitis/painful bladder syndrome,other,200,y0,127,2,92,0,ST000381,30,62
120,AN000616,0.5460526315789473,0.06937130651531169,58,36,interstitial cystitis/painful bladder syndrome,other,1280,y1,746,2,94,0,ST000381,31,63
121,AN000617,0.5883040935672513,0.06827219274276208,58,36,interstitial cystitis/painful bladder syndrome,other,678,y2,441,2,94,0,ST000381,31,63
122,IPO_aligned_ST000381_pos,0.4970760233918128,0.039446601062081976,56,36,interstitial cystitis/painful bladder syndrome,other,2633,y3,1063,2,92,0,ST000381,30,62
123,AN000618,0.9662698412698413,0.023294698605459022,44,12,Obesity - Non-diabetic and T2 diabetic,metabolic,106,z0,3,2,56,14,ST000383,18,38
124,AN000603_plasma,0.75222816399287,0.051168271281309526,51,32,lung cancer - adenocarcinoma,cancer,181,A0,176,2,83,11,ST000385,27,56
125,AN000603_serum,0.7686051693404634,0.06379485468920441,49,31,lung cancer - adenocarcinoma,cancer,181,A1,32,2,80,5,ST000385,26,54
126,AN000620_plasma,0.7927210884353743,0.06016921239340411,43,43,lung cancer - adenocarcinoma,cancer,152,A2,15,2,86,19,ST000385,28,58
127,AN000620_serum,0.8388662131519276,0.03486111191773236,43,43,lung cancer - adenocarcinoma,cancer,152,A3,27,2,86,19,ST000385,28,58
128,IPO_aligned_ST000385_adc1_plasma,0.7602947845804988,0.08952891543954074,43,43,lung cancer - adenocarcinoma,cancer,2558,A4,948,2,86,76,ST000385,28,58
129,IPO_aligned_ST000385_adc1_serum,0.6943008314436886,0.015029359551750388,43,43,lung cancer - adenocarcinoma,cancer,1842,A5,412,2,86,47,ST000385,28,58
130,IPO_aligned_ST000385_adc2_plasma,0.6515151515151515,0.10933907438846077,51,32,lung cancer - adenocarcinoma,cancer,1506,A6,0,2,83,1,ST000385,27,56
131,IPO_aligned_ST000385_adc2_serum,0.4458333333333333,0.05597928684393502,49,31,lung cancer - adenocarcinoma,cancer,987,A7,62,2,80,0,ST000385,26,54
132,AN000624_LC,0.41060606060606064,0.12642212148486756,65,29,Lung cancer,cancer,988,B0,0,2,94,0,ST000388,30,64
133,IPO_aligned_ST000388_LC,0.5680455347122014,0.07091317605809189,65,29,Lung cancer,cancer,43044,B1,261,2,94,0,ST000388,30,64
134,AN000625_GC,0.5867243867243866,0.04974944980995302,65,29,Lung cancer,cancer,129,C0,119,2,94,0,ST000389,30,64
135,IPO_aligned_ST000388_GC,0.5196969696969697,0.027855721683106415,65,29,Lung cancer,cancer,1984,C1,0,2,94,0,ST000389,30,64
136,AN000628_plasma,0.8581089240429899,0.043749018991359946,41,41,Lung cancer,cancer,158,D0,13,2,82,25,ST000392,26,56
137,AN000628_serum,0.7125950972104818,0.10174234244684888,41,41,Lung cancer,cancer,158,D1,42,2,82,11,ST000392,26,56
138,IPO_aligned_ST000392_plasma,0.6662138228072294,0.006971653228189795,41,41,Lung cancer,cancer,1966,D2,236,2,82,25,ST000392,26,56
139,IPO_aligned_ST000392_serum,0.4992251338405185,0.0768854860948398,41,41,Lung cancer,cancer,701,D3,115,2,82,0,ST000392,26,56
140,AN000633,0.45324456688093057,0.038717665228003,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,129,E0,128,2,299,0,ST000396,99,200
141,IPO_aligned_ST000396,0.47973375170278354,0.018638399204774562,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,796,E1,186,2,299,0,ST000396,99,200
142,AN000705,0.8837606837606837,0.04906906015181989,45,39,Chronic fatigue,other,215,F0,51,2,84,40,ST000450,28,56
143,AN000706,0.7589743589743589,0.12582404252702864,45,39,Chronic fatigue,other,206,F1,17,2,84,0,ST000450,28,56
144,AN000888,0.9976525821596244,0.003319750146415712,214,20,Malaria (P. vivax),infectious,20347,G0,12,2,234,5715,ST000578,77,157
145,AN000889,0.9959106490796632,0.004233241267904008,214,20,Malaria (P. vivax),infectious,16796,G1,108,2,234,5761,ST000578,77,157
146,IPO_aligned_ST000578_AE,1.0,0.0,214,20,Malaria (P. vivax),infectious,8473,G2,26,2,234,5576,ST000578,77,157
147,IPO_aligned_ST000578_C18,0.9761904761904763,0.033671751485073675,214,20,Malaria (P. vivax),infectious,20666,G3,11,2,234,10225,ST000578,77,157
148,AN000929,0.9583333333333334,0.05892556509887896,10,10,Stability of dried blood samples - diabetic men,metabolic,263,H0,12,2,20,34,ST000608,6,14
149,AN000930,0.9421296296296297,0.04547889514904743,10,10,Stability of dried blood samples - diabetic men,metabolic,73,H1,1,2,20,0,ST000608,6,14
150,AN000931,0.9791666666666666,0.02946278254943948,10,10,Stability of dried blood samples - diabetic men,metabolic,86,H2,61,2,20,0,ST000608,6,14
151,AN001201,0.4462033462033462,0.0484565812155395,10,10,scleroderma PAH,autoimmune,138,I0,309,5,218,40,ST000763,70,148
152,AN001202,0.5114543114543114,0.10764763735166726,10,10,scleroderma PAH,autoimmune,133,I1,240,5,218,32,ST000763,70,148
153,IPO_aligned_ST000763_untar_neg,0.6144144144144144,0.015021019820300043,10,10,scleroderma PAH,autoimmune,28580,I2,3081,5,218,6223,ST000763,70,148
154,IPO_aligned_ST000763_untar_pos,0.6692406692406693,0.03330076971154596,10,10,scleroderma PAH,autoimmune,28673,I3,1570,5,218,6684,ST000763,70,148
155,AN001390all_author,0.6271062271062272,0.05932784498128056,40,44,Hepatocellular Carcinoma,cancer,56,J0,15,2,84,0,ST000865,27,57
156,IPO_aligned_ST000865_batch2_raw,0.634920634920635,0.029695693545824953,19,22,Hepatocellular Carcinoma,cancer,1949,J1,514,2,41,0,ST000865,13,28
157,IPO_aligned_ST000865_batch3_raw,0.461734693877551,0.035039792139517884,21,22,Hepatocellular Carcinoma,cancer,1886,J2,46,2,43,0,ST000865,14,29
158,IPO_aligned_ST000865_onebatch,0.5548229548229549,0.059363517306767206,40,44,Hepatocellular Carcinoma,cancer,754,J3,456,2,84,0,ST000865,27,57
159,AN001450,0.9920786800416684,0.0021001737673272455,202,190,Lyme disease,infectious,95,K0,71,2,392,87,ST000888,130,262
160,AN001503,0.7723868312757202,0.05930213926424747,29,29,Breast cancer,cancer,77,L0,74,2,58,13,ST000918,18,40
