,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
14,IPO_aligned_MTBLS17_pos_exp2,0.6974877450980393,0.03713548731351592,13,50,hepatocellular carcinoma,cancer,33205,c4,1340,2,63,0,MTBLS17,20,43
15,IPO_aligned_MTBLS17_pos_exp3,1.0,0.0,5,5,hepatocellular carcinoma,cancer,4299,c5,737,2,10,0,MTBLS17,2,8
16,IPO_aligned_MTBLS17_neg_onebatch,0.6850072543356521,0.04615043420141432,77,184,hepatocellular carcinoma,cancer,13652,c6,607,2,261,560,MTBLS17,86,175
17,IPO_aligned_MTBLS17_pos_onebatch,0.6861533037736104,0.037262034193161465,77,184,hepatocellular carcinoma,cancer,20768,c7,9299,2,261,191,MTBLS17,86,175
18,Peaklist_EXP1_POS,0.6940636474908201,0.047445556081083716,59,129,hepatocellular carcinoma,cancer,1586,c8,1585,2,188,45,MTBLS17,62,126
19,Peaklist_EXP2_POS,0.5987745098039216,0.07420360846629667,13,50,hepatocellular carcinoma,cancer,3230,c9,3045,2,63,0,MTBLS17,20,43
20,Peaklist_EXP3_POS,0.75,0.3535533905932738,5,5,hepatocellular carcinoma,cancer,612,c10,101,2,10,0,MTBLS17,2,8
21,Peaklist_EXP1_NEG,0.6549163606691147,0.04127438036142253,59,129,hepatocellular carcinoma,cancer,941,c11,934,2,188,159,MTBLS17,62,126
22,Peaklist_EXP2_NEG,0.514093137254902,0.14175748920556888,13,50,hepatocellular carcinoma,cancer,1209,c12,6,2,63,0,MTBLS17,20,43
23,Peaklist_EXP3_NEG,0.9166666666666666,0.11785113019775792,5,5,hepatocellular carcinoma,cancer,391,c13,92,2,10,0,MTBLS17,2,8
24,Exp1F_POS,0.7179232804232805,0.08379788838517119,20,25,hepatocellular carcinoma,cancer,1526,d0,18,2,45,2,MTBLS19,14,31
25,Exp1R_POS,0.7099867724867724,0.07733995884265811,20,25,hepatocellular carcinoma,cancer,1461,d1,1407,2,45,2,MTBLS19,14,31
26,Exp2F_POS,0.7427248677248678,0.06407498066022684,20,25,hepatocellular carcinoma,cancer,1542,d2,630,2,45,12,MTBLS19,14,31
27,Exp2R_POS,0.6498015873015873,0.1222373599160014,20,25,hepatocellular carcinoma,cancer,1455,d3,1418,2,45,0,MTBLS19,14,31
28,Exp1F_NEG,0.8544973544973544,0.08058476373372661,20,25,hepatocellular carcinoma,cancer,883,d4,869,2,45,2,MTBLS19,14,31
29,Exp1R_NEG,0.7536375661375662,0.10425114152614452,20,25,hepatocellular carcinoma,cancer,827,d5,69,2,45,2,MTBLS19,14,31
30,Exp2F_NEG,0.7037037037037037,0.13698940460403836,20,25,hepatocellular carcinoma,cancer,825,d6,752,2,45,15,MTBLS19,14,31
31,Exp2R_NEG,0.7837301587301587,0.024940089464239167,20,25,hepatocellular carcinoma,cancer,760,d7,755,2,45,0,MTBLS19,14,31
32,IPO_aligned_MTBLS19_neg_exp1_F,0.7414021164021163,0.033762563539947735,20,25,hepatocellular carcinoma,cancer,4843,d8,2108,2,45,5,MTBLS19,14,31
33,IPO_aligned_MTBLS19_neg_exp1_R,0.6524470899470899,0.10890529831724309,20,25,hepatocellular carcinoma,cancer,4843,d9,221,2,45,3,MTBLS19,14,31
34,IPO_aligned_MTBLS19_neg_exp2_F,0.8015873015873015,0.15592764051101984,20,25,hepatocellular carcinoma,cancer,4414,d10,920,2,45,0,MTBLS19,14,31
35,IPO_aligned_MTBLS19_neg_exp2_R,0.6964285714285715,0.14797384398400068,20,25,hepatocellular carcinoma,cancer,4414,d11,188,2,45,1,MTBLS19,14,31
36,IPO_aligned_MTBLS19_pos_exp1_F,0.7668650793650794,0.11910547535910773,20,25,hepatocellular carcinoma,cancer,7931,d12,405,2,45,2,MTBLS19,14,31
37,IPO_aligned_MTBLS19_pos_exp1_R,0.7490079365079364,0.13456272555987897,20,25,hepatocellular carcinoma,cancer,7931,d13,1056,2,45,1,MTBLS19,14,31
38,IPO_aligned_MTBLS19_pos_exp2_F,0.7867063492063492,0.11435011137633976,20,25,hepatocellular carcinoma,cancer,8753,d14,465,2,45,18,MTBLS19,14,31
39,IPO_aligned_MTBLS19_pos_exp2_R,0.8422619047619048,0.11852564137940402,20,25,hepatocellular carcinoma,cancer,8753,d15,1712,2,45,2,MTBLS19,14,31
40,IPO_aligned_MTBLS19_neg_all_F_R,0.803153953889248,0.025972395934203144,40,50,hepatocellular carcinoma,cancer,5163,d16,483,2,90,287,MTBLS19,29,61
41,IPO_aligned_MTBLS19_neg_all_R_R,0.7556022408963585,0.05493021291696358,40,50,hepatocellular carcinoma,cancer,5163,d17,157,2,90,162,MTBLS19,29,61
42,IPO_aligned_MTBLS19_pos_all_F_R,0.7888116785175608,0.07814754485147232,40,50,hepatocellular carcinoma,cancer,8623,d18,52,2,90,300,MTBLS19,29,61
43,IPO_aligned_MTBLS19_pos_all_R_R,0.7630090497737556,0.1536318210217467,40,50,hepatocellular carcinoma,cancer,8623,d19,201,2,90,161,MTBLS19,29,61
44,m_oxylipin_chronic_hep_b,0.7739506869941652,0.09898440468460099,67,19,chronic hepatitis B,infectious,35,e0,2,2,86,1,MTBLS253,28,58
45,m_mtbls266_NEG_mass_spectrometry_v2_maf,0.9066666666666667,0.06798692684790376,15,15,Age related metabolomics,other,55,f0,50,2,30,0,MTBLS266,10,20
46,m_mtbls266_POS_mass_spectrometry_v2_maf,0.9466666666666667,0.07542472332656502,15,15,Age related metabolomics,other,81,f1,9,2,30,4,MTBLS266,10,20
47,IPO_aligned_MTBLS266_neg,0.9333333333333335,0.06798692684790376,15,15,Age related metabolomics,other,15961,f2,903,2,30,181,MTBLS266,10,20
48,IPO_aligned_MTBLS266_pos,0.88,0.14236104336041752,15,15,Age related metabolomics,other,21030,f3,113,2,30,2,MTBLS266,10,20
49,m_chronic_hep_b_POS,0.883712905452036,0.03302189091862042,69,19,chronic hepatitis B,infectious,140,g0,6,2,88,40,MTBLS279,29,59
50,m_chronic_hep_b_NEG,0.9516908212560388,0.02977977779212065,69,19,chronic hepatitis B,infectious,59,g1,18,2,88,26,MTBLS279,29,59
51,m_mtbls28_NEG_v2_maf,0.8291452767796711,0.012794716684126657,469,536,Lung cancer,cancer,1359,h0,568,2,1005,666,MTBLS28,334,671
52,m_mtbls28_POS_v2_maf,0.867826603242461,0.00121898765018681,469,536,Lung cancer,cancer,1807,h1,190,2,1005,921,MTBLS28,334,671
53,IPO_aligned_MTBLS28_neg,0.8235338632815091,0.007665163357028171,469,536,Lung cancer,cancer,4349,h2,4348,2,1005,1259,MTBLS28,334,671
54,IPO_aligned_MTBLS28_pos,0.8552852797544875,0.008207805358077292,469,536,Lung cancer,cancer,5559,h3,2361,2,1005,2105,MTBLS28,334,671
55,m_GC_nmfi_and_bsi_diagnosis_v2_maf,0.6795735129068463,0.08507191527668337,34,27,non-malaria febrile illness,infectious,146,i0,142,2,61,0,MTBLS315,20,41
56,m_LC_nmfi_and_bsi_diagnosis_v2_maf,0.9259259259259259,0.03333163278320421,34,27,non-malaria febrile illness,infectious,8207,i1,224,2,61,0,MTBLS315,20,41
57,m_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf,0.8529741863075196,0.03712196500233722,34,27,non-malaria febrile illness,infectious,12385,i2,1613,2,61,474,MTBLS315,20,41
58,m_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf,0.7783389450056116,0.10262765203352822,34,27,non-malaria febrile illness,infectious,7617,i3,3570,2,61,624,MTBLS315,20,41
59,IPO_aligned_MTBLS315_mzData,0.5555555555555556,0.07856742013183865,34,27,non-malaria febrile illness,infectious,2804,i4,0,2,61,0,MTBLS315,20,41
60,IPO_aligned_MTBLS315_mzXML,0.8773849607182941,0.07761269391537512,34,27,non-malaria febrile illness,infectious,8795,i5,595,2,61,24,MTBLS315,20,41
61,IPO_aligned_MTBLS315_n_mzML,0.9169472502805837,0.034810465587588865,34,27,non-malaria febrile illness,infectious,22913,i6,862,2,61,50,MTBLS315,20,41
62,IPO_aligned_MTBLS315_p_mzML,0.9175084175084175,0.034583566640023815,34,27,non-malaria febrile illness,infectious,25234,i7,940,2,61,69,MTBLS315,20,41
63,DEMO_neg-norm-metaboAnalystInput_0_NGT,0.6027255460588794,0.05565992258442536,80,150,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j0,72,2,230,1,MTBLS352,76,154
64,DEMO_neg-norm-metaboAnalystInput_2_Pre-DM,0.5683106575963719,0.06135950301878764,63,167,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j1,0,2,230,3,MTBLS352,76,154
65,DEMO_neg-norm-metaboAnalystInput_1_T2D,0.661197216108258,0.04489204232140938,87,143,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j2,18,2,230,4,MTBLS352,76,154
66,DEMO_pos-norm-metaboAnalystInput_0_NGT,0.6413010446343779,0.023385695691422147,80,150,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j3,13,2,230,5,MTBLS352,76,154
67,DEMO_pos-norm-metaboAnalystInput_2_Pre-DM,0.5170377241805812,0.04346684014634776,63,167,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j4,4,2,230,0,MTBLS352,76,154
68,DEMO_pos-norm-metaboAnalystInput_1_T2D,0.6679047444362926,0.02138100970222579,87,143,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j5,66,2,230,5,MTBLS352,76,154
69,IPO_aligned_MTBLS352_neg_0_NGT,0.7278013267596601,0.014664486979842005,98,190,Diabetes - healthy v. T2 v. prediabetic,metabolic,2724,j6,1135,2,288,3,MTBLS352,95,193
70,IPO_aligned_MTBLS352_neg_2_Pre-DM,0.5804029304029305,0.03919841817044961,78,210,Diabetes - healthy v. T2 v. prediabetic,metabolic,2724,j7,732,2,288,0,MTBLS352,96,192
71,IPO_aligned_MTBLS352_neg_1_T2D,0.7810088072630753,0.0836544247349628,112,176,Diabetes - healthy v. T2 v. prediabetic,metabolic,2724,j8,1074,2,288,7,MTBLS352,95,193
72,m_cap_metabolite_profiling_mass_spectrometry_v2_maf,0.9485166380113187,0.01447628977078852,142,97,Pneumonia - Community acquired,infectious,7,k0,7,2,239,7,MTBLS354,79,160
73,m_cap_metabolite_profiling_mass_spectrometry-1_v2_maf,0.8584784010315926,0.04089804397812564,142,97,Pneumonia - Community acquired,infectious,5,k1,5,2,239,5,MTBLS354,79,160
74,IPO_aligned_MTBLS354_neg,0.9932659932659934,0.009523323652344031,142,97,Pneumonia - Community acquired,infectious,12041,k2,1017,2,239,5751,MTBLS354,79,160
75,IPO_aligned_MTBLS354_pos,0.9902482269503546,0.013791089703992962,142,97,Pneumonia - Community acquired,infectious,24213,k3,209,2,239,12581,MTBLS354,79,160
76,m_CER_mass_spectrometry_v4_3_CS,0.5,0.0,39,116,COPD,respiratory,56,l0,0,2,155,0,MTBLS358,51,104
77,m_CER_mass_spectrometry_v4_0_NS,0.5657981245025779,0.11258474813363224,39,116,COPD,respiratory,56,l1,8,2,155,0,MTBLS358,51,104
78,m_CER_mass_spectrometry_v4_2_FS,0.48706991014683315,0.02114183709258423,38,117,COPD,respiratory,56,l2,4,2,155,0,MTBLS358,51,104
79,m_CER_mass_spectrometry_v4_1_COPD,0.4679054638568809,0.08183556391916967,39,116,COPD,respiratory,56,l3,56,2,155,0,MTBLS358,51,104
80,m_EICO_mass_spectrometry_v4_3_CS,0.6048998235233053,0.016480170004380467,39,116,COPD,respiratory,17,l4,16,2,155,0,MTBLS358,51,104
81,m_EICO_mass_spectrometry_v4_0_NS,0.6894183189729749,0.09526158320533866,39,116,COPD,respiratory,17,l5,17,2,155,2,MTBLS358,51,104
82,m_EICO_mass_spectrometry_v4_2_FS,0.685294762217839,0.07515674512999142,38,117,COPD,respiratory,17,l6,3,2,155,4,MTBLS358,51,104
83,m_EICO_mass_spectrometry_v4_1_COPD,0.7382781411121492,0.05395392177985357,39,116,COPD,respiratory,17,l7,17,2,155,2,MTBLS358,51,104
84,m_SHOT_mass_spectrometry_v4_3_CS,0.579639433890446,0.05652960781122678,39,116,COPD,respiratory,123,l8,54,2,155,0,MTBLS358,51,104
85,m_SHOT_mass_spectrometry_v4_0_NS,0.5732724315720268,0.11368625209016518,39,116,COPD,respiratory,123,l9,46,2,155,0,MTBLS358,51,104
86,m_SHOT_mass_spectrometry_v4_2_FS,0.48843962305500765,0.034336885928278466,38,117,COPD,respiratory,123,l10,123,2,155,0,MTBLS358,51,104
87,m_SHOT_mass_spectrometry_v4_1_COPD,0.6102114260008996,0.04463629809494581,39,116,COPD,respiratory,123,l11,56,2,155,6,MTBLS358,51,104
88,m_TAG_mass_spectrometry_v4_3_CS,0.48012041939167444,0.0731078157415748,39,116,COPD,respiratory,23,l12,9,2,155,0,MTBLS358,51,104
89,m_TAG_mass_spectrometry_v4_0_NS,0.6219246340703831,0.01222401960183005,39,116,COPD,respiratory,23,l13,11,2,155,1,MTBLS358,51,104
90,m_TAG_mass_spectrometry_v4_2_FS,0.48022134560596097,0.05268633061172973,38,117,COPD,respiratory,23,l14,18,2,155,0,MTBLS358,51,104
91,m_TAG_mass_spectrometry_v4_1_COPD,0.6110419045641718,0.03798154192765367,39,116,COPD,respiratory,23,l15,23,2,155,2,MTBLS358,51,104
92,IPO_aligned_MTBLS364_hil_neg,0.9950120399036808,0.004927292787493499,53,55,smoker v. nonsmoker,other,5951,m0,276,2,108,3869,MTBLS364,35,73
93,IPO_aligned_MTBLS364_hil_pos,1.0,0.0,53,55,smoker v. nonsmoker,other,17212,m1,137,2,108,10812,MTBLS364,35,73
94,IPO_aligned_MTBLS364_lip_neg,0.9873294346978557,0.017918885293226338,53,55,smoker v. nonsmoker,other,761,m2,49,2,108,473,MTBLS364,35,73
95,IPO_aligned_MTBLS364_lip_pos,0.9967320261437909,0.0046216129489316665,53,55,smoker v. nonsmoker,other,6168,m3,702,2,108,3688,MTBLS364,35,73
96,IPO_aligned_MTBLS408_neg,0.9511111111111111,0.031635787413426084,45,45,psoriasis,autoimmune,2015,n0,199,2,90,305,MTBLS408,30,60
97,IPO_aligned_MTBLS408_pos,0.9422222222222224,0.05041392452495869,45,45,psoriasis,autoimmune,3106,n1,83,2,90,303,MTBLS408,30,60
98,m_typhoid_carriage_metabolite_profiling_mass_spectrometry_v2_maf,0.9888888888888889,0.01571348402636772,17,20,typhoid carriage,infectious,198,o0,154,2,37,23,MTBLS579,11,26
99,IPO_aligned_MTBLS72_neg,0.7907108721624851,0.11022195812638198,36,91,Alzheimers,neurological,6417,p0,2979,2,127,2,MTBLS72,42,85
100,IPO_aligned_MTBLS72_pos,0.7868279569892472,0.021249599009136613,36,91,Alzheimers,neurological,4529,p1,789,2,127,1,MTBLS72,42,85
101,IPO_aligned_MTBLS92,0.9366151866151867,0.00483563010462967,111,336,Breast Cancer,cancer,5875,q0,5853,2,447,1130,MTBLS92,149,298
102,Author_data,0.861969111969112,0.032152300528609366,111,336,Breast Cancer,cancer,240,q1,240,2,447,151,MTBLS92,149,298
103,02Feb10-21-r0_1_II,0.3333333333333333,0.23570226039551584,7,14,t1 diabetes,metabolic,18220,r0,0,2,21,0,ST000045,6,15
104,02Feb10-21-r0_0_ND,0.43333333333333335,0.047140452079103175,7,14,t1 diabetes,metabolic,18220,r1,0,2,21,0,ST000045,6,15
105,02Feb10-21-r0_2_IW,0.7111111111111111,0.2793290019994786,7,14,t1 diabetes,metabolic,18220,r2,764,2,21,0,ST000045,6,15
106,11Feb10-21-r0_1_II,0.39999999999999997,0.14142135623730953,7,14,t1 diabetes,metabolic,1910,r3,1435,2,21,0,ST000045,6,15
107,11Feb10-21-r0_0_ND,0.5666666666666667,0.04714045207910316,7,14,t1 diabetes,metabolic,1910,r4,842,2,21,0,ST000045,6,15
108,11Feb10-21-r0_2_IW,0.8916666666666666,0.08249579113843053,7,14,t1 diabetes,metabolic,1910,r5,1406,2,21,10,ST000045,6,15
109,11March10-21-r0_1_II,0.5333333333333333,0.04714045207910316,7,14,t1 diabetes,metabolic,31334,r6,0,2,21,0,ST000045,6,15
110,11March10-21-r0_0_ND,0.325,0.16708281379802853,7,14,t1 diabetes,metabolic,31334,r7,4,2,21,0,ST000045,6,15
111,11March10-21-r0_2_IW,0.7999999999999999,0.28284271247461906,7,14,t1 diabetes,metabolic,31334,r8,4802,2,21,0,ST000045,6,15
112,17March10-21-r0_1_II,0.16666666666666666,0.23570226039551584,7,14,t1 diabetes,metabolic,21031,r9,2383,2,21,0,ST000045,6,15
113,17March10-21-r0_0_ND,0.1111111111111111,0.15713484026367722,7,14,t1 diabetes,metabolic,21031,r10,2400,2,21,0,ST000045,6,15
114,17March10-21-r0_2_IW,0.4444444444444444,0.3189488909868294,7,14,t1 diabetes,metabolic,21031,r11,4308,2,21,0,ST000045,6,15
115,IPO_aligned_ST000045_2feb_pos_1_II,0.48888888888888893,0.01571348402636772,7,14,t1 diabetes,metabolic,19257,r12,4504,2,21,0,ST000045,6,15
116,IPO_aligned_ST000045_2feb_pos_0_ND,0.325,0.16708281379802853,7,14,t1 diabetes,metabolic,19257,r13,2570,2,21,0,ST000045,6,15
117,IPO_aligned_ST000045_2feb_pos_2_IW,0.9166666666666666,0.11785113019775792,7,14,t1 diabetes,metabolic,19257,r14,7,2,21,638,ST000045,6,15
118,IPO_aligned_ST000045_11feb_neg_1_II,0.6638888888888889,0.030681558381075707,7,14,t1 diabetes,metabolic,3255,r15,1276,2,21,0,ST000045,6,15
119,IPO_aligned_ST000045_11feb_neg_0_ND,0.4444444444444444,0.07856742013183865,7,14,t1 diabetes,metabolic,3255,r16,1284,2,21,0,ST000045,6,15
120,IPO_aligned_ST000045_11feb_neg_2_IW,0.9555555555555556,0.06285393610547088,7,14,t1 diabetes,metabolic,3255,r17,431,2,21,283,ST000045,6,15
121,IPO_aligned_ST000045_11mar_pos_1_II,0.4777777777777778,0.05665577237325315,7,14,t1 diabetes,metabolic,20154,r18,4781,2,21,0,ST000045,6,15
122,IPO_aligned_ST000045_11mar_pos_0_ND,0.2333333333333333,0.20548046676563259,7,14,t1 diabetes,metabolic,20154,r19,2701,2,21,0,ST000045,6,15
123,IPO_aligned_ST000045_11mar_pos_2_IW,0.9333333333333332,0.09428090415820632,7,14,t1 diabetes,metabolic,20154,r20,671,2,21,0,ST000045,6,15
124,IPO_aligned_ST000045_17mar_neg_1_II,0.2416666666666666,0.11606990230986765,7,14,t1 diabetes,metabolic,47102,r21,2,2,21,0,ST000045,6,15
125,IPO_aligned_ST000045_17mar_neg_0_ND,0.37777777777777777,0.17284832429004496,7,14,t1 diabetes,metabolic,47102,r22,6110,2,21,0,ST000045,6,15
126,IPO_aligned_ST000045_17mar_neg_2_IW,0.875,0.1767766952966369,7,14,t1 diabetes,metabolic,47102,r23,222,2,21,222,ST000045,6,15
127,AN000076_0_CN,0.6,0.07483314773547885,15,30,Alzheimer's,neurological,11203,s0,5587,2,45,0,ST000046,15,30
128,AN000076_2_MCI,0.5133333333333333,0.04109609335312654,15,30,Alzheimer's,neurological,11203,s1,5686,2,45,0,ST000046,15,30
129,AN000076_1_AD,0.2733333333333333,0.11813363431112903,15,30,Alzheimer's,neurological,11203,s2,344,2,45,0,ST000046,15,30
130,AN000077_0_CN,0.7266666666666666,0.1225651754056683,15,30,Alzheimer's,neurological,17707,s3,730,2,45,0,ST000046,15,30
131,AN000077_2_MCI,0.5133333333333333,0.12256517540566826,15,30,Alzheimer's,neurological,17707,s4,4204,2,45,0,ST000046,15,30
132,AN000077_1_AD,0.5533333333333333,0.024944382578492925,15,30,Alzheimer's,neurological,17707,s5,551,2,45,0,ST000046,15,30
133,AN000078_0_CN,0.3333333333333333,0.11585431464655181,15,30,Alzheimer's,neurological,6494,s6,2888,2,45,0,ST000046,15,30
134,AN000078_2_MCI,0.4466666666666666,0.04988876515698588,15,30,Alzheimer's,neurological,6494,s7,644,2,45,0,ST000046,15,30
135,AN000078_1_AD,0.6,0.11430952132988166,15,30,Alzheimer's,neurological,6494,s8,2734,2,45,0,ST000046,15,30
136,AN000079_0_CN,0.35333333333333333,0.1472714802291635,15,30,Alzheimer's,neurological,11369,s9,5625,2,45,0,ST000046,15,30
137,AN000079_2_MCI,0.45999999999999996,0.13366625103842278,15,30,Alzheimer's,neurological,11369,s10,3675,2,45,0,ST000046,15,30
138,AN000079_1_AD,0.5466666666666667,0.15691469727919757,15,30,Alzheimer's,neurological,11369,s11,1514,2,45,0,ST000046,15,30
139,IPO_aligned_ST000046_20120606_neg_hilic_0_CN,0.41333333333333333,0.0618241233033047,15,30,Alzheimer's,neurological,18223,s12,579,2,45,0,ST000046,15,30
140,IPO_aligned_ST000046_20120606_neg_hilic_2_MCI,0.34,0.11430952132988166,15,30,Alzheimer's,neurological,18223,s13,0,2,45,0,ST000046,15,30
141,IPO_aligned_ST000046_20120606_neg_hilic_1_AD,0.4933333333333334,0.13888444437333108,15,30,Alzheimer's,neurological,18223,s14,289,2,45,0,ST000046,15,30
142,IPO_aligned_ST000046_20120613_neg_hilic_0_CN,0.7933333333333333,0.05249338582674535,15,30,Alzheimer's,neurological,9685,s15,1431,2,45,2,ST000046,15,30
143,IPO_aligned_ST000046_20120613_neg_hilic_2_MCI,0.52,0.028284271247461926,15,30,Alzheimer's,neurological,9685,s16,5527,2,45,0,ST000046,15,30
144,IPO_aligned_ST000046_20120613_neg_hilic_1_AD,0.6333333333333333,0.20548046676563253,15,30,Alzheimer's,neurological,9685,s17,3499,2,45,0,ST000046,15,30
145,IPO_aligned_ST000046_20120618_pos_c18_0_CN,0.8000000000000002,0.10198039027185574,15,30,Alzheimer's,neurological,12009,s18,1540,2,45,0,ST000046,15,30
146,IPO_aligned_ST000046_20120618_pos_c18_2_MCI,0.41333333333333333,0.21312489817527708,15,30,Alzheimer's,neurological,12009,s19,5967,2,45,0,ST000046,15,30
147,IPO_aligned_ST000046_20120618_pos_c18_1_AD,0.54,0.05887840577551898,15,30,Alzheimer's,neurological,12009,s20,8,2,45,0,ST000046,15,30
148,IPO_aligned_ST000046_20120620_neg_c18_0_CN,0.6133333333333333,0.20286832072937253,15,30,Alzheimer's,neurological,13671,s21,143,2,45,0,ST000046,15,30
149,IPO_aligned_ST000046_20120620_neg_c18_2_MCI,0.39999999999999997,0.15577761927397232,15,30,Alzheimer's,neurological,13671,s22,0,2,45,0,ST000046,15,30
150,IPO_aligned_ST000046_20120620_neg_c18_1_AD,0.6,0.10708252269472673,15,30,Alzheimer's,neurological,13671,s23,3913,2,45,0,ST000046,15,30
151,IPO_aligned_ST000046_20120625_pos_c18_0_CN,0.6466666666666667,0.09568466729604881,15,30,Alzheimer's,neurological,6167,s24,2715,2,45,0,ST000046,15,30
152,IPO_aligned_ST000046_20120625_pos_c18_2_MCI,0.37333333333333335,0.0524933858267454,15,30,Alzheimer's,neurological,6167,s25,14,2,45,0,ST000046,15,30
153,IPO_aligned_ST000046_20120625_pos_c18_1_AD,0.4066666666666667,0.1049867716534908,15,30,Alzheimer's,neurological,6167,s26,103,2,45,0,ST000046,15,30
154,XCMS-Report-annotated-SingleClass.04jun12_0_CN,0.6666666666666666,0.12036980056845194,15,30,Alzheimer's,neurological,2096,s27,765,2,45,0,ST000046,15,30
155,XCMS-Report-annotated-SingleClass.04jun12_2_MCI,0.6866666666666669,0.12256517540566826,15,30,Alzheimer's,neurological,2096,s28,2035,2,45,0,ST000046,15,30
156,XCMS-Report-annotated-SingleClass.04jun12_1_AD,0.84,0.16970562748477142,15,30,Alzheimer's,neurological,2096,s29,185,2,45,9,ST000046,15,30
157,XCMS-Report-annotated-SingleClass.11jun12_0_CN,0.82,0.07483314773547889,15,30,Alzheimer's,neurological,1003,s30,988,2,45,0,ST000046,15,30
158,XCMS-Report-annotated-SingleClass.11jun12_2_MCI,0.9066666666666667,0.05249338582674538,15,30,Alzheimer's,neurological,1003,s31,4,2,45,10,ST000046,15,30
159,XCMS-Report-annotated-SingleClass.11jun12_1_AD,0.8066666666666666,0.1892675942210452,15,30,Alzheimer's,neurological,1003,s32,27,2,45,9,ST000046,15,30
160,XCMS-Report-annotated-SingleClass.27jun12_0_CN,0.7000000000000001,0.06531972647421815,15,30,Alzheimer's,neurological,942,s33,922,2,45,6,ST000046,15,30
161,XCMS-Report-annotated-SingleClass.27jun12_2_MCI,0.66,0.18547236990991406,15,30,Alzheimer's,neurological,942,s34,6,2,45,0,ST000046,15,30
162,XCMS-Report-annotated-SingleClass.27jun12_1_AD,0.5933333333333334,0.033993463423951896,15,30,Alzheimer's,neurological,942,s35,275,2,45,0,ST000046,15,30
163,AN000101,0.8810706018518518,0.06502781067645287,47,47,Depression,neurological,167,t0,102,2,94,83,ST000063,30,64
164,XCMS-Report-annotated-SingleClass-GCTOF.,0.9098498774509803,0.06314443405975001,49,48,Depression,neurological,3840,t1,2325,2,97,521,ST000063,32,65
165,AN000452_0_Healthy,0.6232875203735518,0.03656655140546143,84,140,Colorectal Cancer,cancer,113,u0,81,2,224,0,ST000284,74,150
166,AN000452_1_CRC,0.85728050193459,0.02116326821176237,64,160,Colorectal Cancer,cancer,113,u1,46,2,224,36,ST000284,74,150
167,AN000452_2_Polyp,0.5811198325484038,0.03863778610596767,76,148,Colorectal Cancer,cancer,113,u2,113,2,224,6,ST000284,74,150
168,AN000525_0_Control,0.9841269841269842,0.022447834323382432,10,20,"minimal change disease, focal segmental sclerosis",glomerular,179,v0,80,2,30,76,ST000329,9,21
