,analysis,auc,auc_std,case,control,disease,disease_type,features,label,model_nonzero_coef,number_labels,samples,significant,study,test_size,train_size
50,m_chronic_hep_b_NEG,0.8837129054520357,0.044728270844047895,69,19,chronic hepatitis B,infectious,59,g1,28,2,88,26,MTBLS279,29,59
51,m_mtbls28_NEG_v2_maf,0.8208609729525266,0.027255785378790098,469,536,Lung cancer,cancer,1359,h0,61,2,1005,666,MTBLS28,334,671
52,m_mtbls28_POS_v2_maf,0.8607207599936796,0.004969213322433386,469,536,Lung cancer,cancer,1807,h1,53,2,1005,921,MTBLS28,334,671
53,IPO_aligned_MTBLS28_neg,0.8095533282841347,0.030689666408658663,469,536,Lung cancer,cancer,4349,h2,298,2,1005,1259,MTBLS28,334,671
54,IPO_aligned_MTBLS28_pos,0.7998706058712647,0.03723528744790147,469,536,Lung cancer,cancer,5559,h3,305,2,1005,2105,MTBLS28,334,671
55,m_GC_nmfi_and_bsi_diagnosis_v2_maf,0.5987654320987654,0.097433240692549,34,27,non-malaria febrile illness,infectious,146,i0,128,2,61,0,MTBLS315,20,41
56,m_LC_nmfi_and_bsi_diagnosis_v2_maf,0.809203142536476,0.07854737691098855,34,27,non-malaria febrile illness,infectious,8207,i1,130,2,61,0,MTBLS315,20,41
57,m_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf,0.8381032547699214,0.07846012932051231,34,27,non-malaria febrile illness,infectious,12385,i2,194,2,61,349,MTBLS315,20,41
58,m_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf,0.9343434343434344,0.033754103797581494,34,27,non-malaria febrile illness,infectious,7617,i3,90,2,61,667,MTBLS315,20,41
59,IPO_aligned_MTBLS315_mzData,0.616442199775533,0.057388781093999384,34,27,non-malaria febrile illness,infectious,2804,i4,821,2,61,0,MTBLS315,20,41
60,IPO_aligned_MTBLS315_mzXML,0.855780022446689,0.03456535038032433,34,27,non-malaria febrile illness,infectious,8795,i5,363,2,61,23,MTBLS315,20,41
61,IPO_aligned_MTBLS315_n_mzML,0.9371492704826038,0.06449274028533622,34,27,non-malaria febrile illness,infectious,22913,i6,86,2,61,48,MTBLS315,20,41
62,IPO_aligned_MTBLS315_p_mzML,0.8439955106621774,0.10132138094987536,34,27,non-malaria febrile illness,infectious,25234,i7,107,2,61,50,MTBLS315,20,41
63,XCMS-Report-annotated-SingleClass-CDF.,0.527216610549944,0.041875635634775976,34,27,non-malaria febrile illness,infectious,5889,i8,24,2,61,0,MTBLS315,20,41
64,XCMS-Report-annotated-SingleClass-n_mzML.,0.8961840628507295,0.03770275428112416,34,27,non-malaria febrile illness,infectious,3299,i9,336,2,61,17,MTBLS315,20,41
65,DEMO_neg-norm-metaboAnalystInput,0.455692422545726,0.05897791542828562,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j0,171,3,285,10,MTBLS352,94,191
66,DEMO_pos-norm-metaboAnalystInput,0.43273168049384503,0.015888239284259958,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,100,j1,211,3,282,3,MTBLS352,93,189
67,IPO_aligned_MTBLS352_neg,0.559028154578887,0.07611193470773345,34,27,Diabetes - healthy v. T2 v. prediabetic,metabolic,2724,j2,460,3,288,7,MTBLS352,95,193
68,m_cap_metabolite_profiling_mass_spectrometry_v2_maf,0.9118310767246939,0.04613728212970424,142,97,Pneumonia - Community acquired,respiratory,7,k0,7,2,239,7,MTBLS354,79,160
69,m_cap_metabolite_profiling_mass_spectrometry-1_v2_maf,0.8660116233254532,0.011295597358609286,142,97,Pneumonia - Community acquired,respiratory,5,k1,5,2,239,5,MTBLS354,79,160
70,IPO_aligned_MTBLS354_neg,0.9884886094992478,0.008773454425481598,142,97,Pneumonia - Community acquired,respiratory,12041,k2,7,2,239,5766,MTBLS354,79,160
71,IPO_aligned_MTBLS354_pos,0.9913608603768177,0.011750573246511199,142,97,Pneumonia - Community acquired,respiratory,24213,k3,167,2,239,12610,MTBLS354,79,160
72,m_CER_mass_spectrometry_v4,0.27111613876319757,0.0424907250306832,142,97,COPD,respiratory,56,l0,137,4,155,0,MTBLS358,51,104
73,m_EICO_mass_spectrometry_v4,0.29009552538964306,0.02942519019965963,142,97,COPD,respiratory,17,l1,16,4,155,5,MTBLS358,51,104
74,m_SHOT_mass_spectrometry_v4,0.3030417295123177,0.07348223553522225,142,97,COPD,respiratory,123,l2,161,4,155,0,MTBLS358,51,104
75,m_TAG_mass_spectrometry_v4,0.2581699346405229,0.01155403237232922,142,97,COPD,respiratory,23,l3,32,4,155,6,MTBLS358,51,104
76,IPO_aligned_MTBLS364_hil_neg,0.9763374485596708,0.023415240075598805,53,55,smoker v. nonsmoker,other,5951,m0,616,2,108,3870,MTBLS364,35,73
77,IPO_aligned_MTBLS364_hil_pos,0.9859598160251756,0.01569460286783388,53,55,smoker v. nonsmoker,other,17212,m1,138,2,108,10811,MTBLS364,35,73
78,IPO_aligned_MTBLS364_lip_neg,0.9958720330237357,0.0029323957923505285,53,55,smoker v. nonsmoker,other,761,m2,14,2,108,474,MTBLS364,35,73
79,IPO_aligned_MTBLS364_lip_pos,0.9923747276688454,0.010783763547507222,53,55,smoker v. nonsmoker,other,6168,m3,717,2,108,3689,MTBLS364,35,73
80,IPO_aligned_MTBLS408_neg,0.88,0.010886621079036327,45,45,psoriasis,autoimmune,2015,n0,59,2,90,305,MTBLS408,30,60
81,IPO_aligned_MTBLS408_pos,0.9229629629629631,0.03524556223220839,45,45,psoriasis,autoimmune,3106,n1,1138,2,90,303,MTBLS408,30,60
82,m_typhoid_carriage_metabolite_profiling_mass_spectrometry_v2_maf,0.9126984126984127,0.06827242275430655,17,20,typhoid carriage,infectious,198,o0,23,2,37,22,MTBLS579,11,26
83,IPO_aligned_MTBLS72_neg,0.752299880525687,0.029861379060707845,36,91,Alzheimers,neurological,6417,p0,31,2,127,1393,MTBLS72,42,85
84,IPO_aligned_MTBLS72_pos,0.7964157706093191,0.034808646827278515,36,91,Alzheimers,neurological,4529,p1,37,2,127,3453,MTBLS72,42,85
85,IPO_aligned_MTBLS92,0.8535231660231659,0.03623282216919392,111,336,Breast Cancer,cancer,5875,q0,13,2,447,5537,MTBLS92,149,298
86,Author_data,0.9355694980694981,0.03293955749106987,111,336,Breast Cancer,cancer,240,q1,38,2,447,198,MTBLS92,149,298
87,02Feb10-21-r0,0.7592592592592592,0.20454372254050482,111,336,t1 diabetes,metabolic,18220,r0,911,3,21,0,ST000045,6,15
88,11Feb10-21-r0,0.48148148148148145,0.13857990321384966,111,336,t1 diabetes,metabolic,1910,r1,364,3,21,0,ST000045,6,15
89,11March10-21-r0,0.48148148148148145,0.026189140043946214,111,336,t1 diabetes,metabolic,31334,r2,190,3,21,0,ST000045,6,15
90,17March10-21-r0,0.5925925925925926,0.17173367584251306,111,336,t1 diabetes,metabolic,21031,r3,16,3,21,0,ST000045,6,15
91,IPO_aligned_ST000045_2feb_pos,0.611111111111111,0.20786985482077452,111,336,t1 diabetes,metabolic,19257,r4,559,3,21,0,ST000045,6,15
92,IPO_aligned_ST000045_11feb_neg,0.8148148148148148,0.1385799032138497,111,336,t1 diabetes,metabolic,3255,r5,310,3,21,175,ST000045,6,15
93,IPO_aligned_ST000045_11mar_pos,0.4259259259259259,0.23277416833289877,111,336,t1 diabetes,metabolic,20154,r6,110,3,21,0,ST000045,6,15
94,IPO_aligned_ST000045_17mar_neg,0.7962962962962963,0.21436735005167082,111,336,t1 diabetes,metabolic,47102,r7,687,3,21,0,ST000045,6,15
95,AN000076,0.3333333333333333,0.054433105395181744,111,336,Alzheimer's,neurological,11203,s0,1195,3,45,0,ST000046,15,30
96,AN000077,0.4444444444444445,0.03142696805273544,111,336,Alzheimer's,neurological,17707,s1,281,3,45,0,ST000046,15,30
97,AN000078,0.4000000000000001,0.10886621079036346,111,336,Alzheimer's,neurological,6494,s2,124,3,45,0,ST000046,15,30
98,AN000079,0.4444444444444445,0.03142696805273544,111,336,Alzheimer's,neurological,11369,s3,263,3,45,0,ST000046,15,30
99,IPO_aligned_ST000046_20120606_neg_hilic,0.3555555555555556,0.06285393610547091,111,336,Alzheimer's,neurological,18223,s4,968,3,45,0,ST000046,15,30
100,IPO_aligned_ST000046_20120613_neg_hilic,0.35555555555555557,0.16629588385661961,111,336,Alzheimer's,neurological,9685,s5,1204,3,45,2,ST000046,15,30
101,IPO_aligned_ST000046_20120618_pos_c18,0.39999999999999997,0.09428090415820634,111,336,Alzheimer's,neurological,12009,s6,853,3,45,0,ST000046,15,30
102,IPO_aligned_ST000046_20120620_neg_c18,0.24444444444444446,0.11331154474650633,111,336,Alzheimer's,neurological,13671,s7,1374,3,45,0,ST000046,15,30
103,IPO_aligned_ST000046_20120625_pos_c18,0.4666666666666666,0.054433105395181716,111,336,Alzheimer's,neurological,6167,s8,1122,3,45,0,ST000046,15,30
104,XCMS-Report-annotated-SingleClass.04jun12,0.5555555555555555,0.06285393610547088,111,336,Alzheimer's,neurological,2096,s9,368,3,45,8,ST000046,15,30
105,XCMS-Report-annotated-SingleClass.11jun12,0.6222222222222222,0.06285393610547088,111,336,Alzheimer's,neurological,1003,s10,237,3,45,14,ST000046,15,30
106,XCMS-Report-annotated-SingleClass.27jun12,0.6888888888888888,0.08314794192830985,111,336,Alzheimer's,neurological,942,s11,477,3,45,2,ST000046,15,30
107,AN000101,0.9211631944444445,0.05006434541188029,47,47,Depression,neurological,167,t0,101,2,94,72,ST000063,30,64
108,XCMS-Report-annotated-SingleClass.,0.8482689950980392,0.04309914277171776,49,48,Depression,neurological,832,t1,172,2,97,359,ST000063,32,65
109,XCMS-Report-annotated-SingleClass-GCTOF.,0.7965686274509803,0.0769220877331002,49,48,Depression,neurological,3840,t2,399,2,97,163,ST000063,32,65
110,AN000452,0.5093646277856804,0.060480521660268724,49,48,Colorectal Cancer,cancer,113,u0,180,3,224,27,ST000284,74,150
111,AN000525,0.4936026936026936,0.10256491357180812,49,48,"minimal change disease, focal segmental sclerosis",glomerular,179,v0,145,3,30,50,ST000329,9,21
112,AN000526,0.5306397306397307,0.09809023361914396,49,48,"minimal change disease, focal segmental sclerosis",glomerular,108,v1,42,3,30,31,ST000329,9,21
113,IPO_aligned_ST000329_pos,0.560942760942761,0.13366282452635608,49,48,"minimal change disease, focal segmental sclerosis",glomerular,17498,v2,1157,3,30,616,ST000329,9,21
114,IPO_aligned_ST000329_neg,0.5973063973063973,0.03304469803740146,49,48,"minimal change disease, focal segmental sclerosis",glomerular,6256,v3,500,3,30,236,ST000329,9,21
115,AN000580,0.9662108262108262,0.0387413269629543,135,76,Breast Cancer,cancer,128,w0,4,2,211,51,ST000355,70,141
116,AN000581,0.9734245014245014,0.02003596412560941,135,76,Breast Cancer,cancer,99,w1,86,2,211,47,ST000355,70,141
117,AN000582,1.0,0.0,103,31,Breast Cancer,cancer,101,x0,3,2,134,69,ST000356,44,90
118,AN000583,1.0,0.0,103,31,Breast Cancer,cancer,171,x1,1,2,134,118,ST000356,44,90
119,AN000615,0.5280214424951267,0.1261359775638177,56,36,interstitial cystitis/painful bladder syndrome,other,200,y0,187,2,92,0,ST000381,30,62
120,AN000616,0.6112573099415205,0.041671026754536954,58,36,interstitial cystitis/painful bladder syndrome,other,1280,y1,167,2,94,0,ST000381,31,63
121,AN000617,0.49173976608187137,0.12252425850792344,58,36,interstitial cystitis/painful bladder syndrome,other,678,y2,0,2,94,0,ST000381,31,63
122,IPO_aligned_ST000381_pos,0.4639376218323587,0.06357361437178521,56,36,interstitial cystitis/painful bladder syndrome,other,2633,y3,55,2,92,0,ST000381,30,62
123,AN000618,0.9376984126984128,0.05478202988836617,44,12,Obesity - Non-diabetic and T2 diabetic,metabolic,106,z0,16,2,56,14,ST000383,18,38
124,AN000603_plasma,0.6096256684491977,0.109680000448593,51,32,lung cancer - adenocarcinoma,cancer,181,A0,167,2,83,11,ST000385,27,56
125,AN000603_serum,0.8126336898395721,0.03331367098722627,49,31,lung cancer - adenocarcinoma,cancer,181,A1,61,2,80,5,ST000385,26,54
126,AN000620_plasma,0.7571730914588057,0.06263383172525212,43,43,lung cancer - adenocarcinoma,cancer,152,A2,20,2,86,19,ST000385,28,58
127,AN000620_serum,0.8314512471655329,0.10388501775690051,43,43,lung cancer - adenocarcinoma,cancer,152,A3,16,2,86,19,ST000385,28,58
128,IPO_aligned_ST000385_adc1_plasma,0.75416477702192,0.12148612978694587,43,43,lung cancer - adenocarcinoma,cancer,2558,A4,102,2,86,76,ST000385,28,58
129,IPO_aligned_ST000385_adc1_serum,0.7824111866969009,0.006494829673547618,43,43,lung cancer - adenocarcinoma,cancer,1842,A5,750,2,86,47,ST000385,28,58
130,IPO_aligned_ST000385_adc2_plasma,0.6565062388591801,0.09744398793688878,51,32,lung cancer - adenocarcinoma,cancer,1506,A6,29,2,83,1,ST000385,27,56
131,IPO_aligned_ST000385_adc2_serum,0.4898284313725491,0.08199674221780369,49,31,lung cancer - adenocarcinoma,cancer,987,A7,293,2,80,0,ST000385,26,54
132,AN000624_LC,0.4712121212121212,0.040712208613770916,65,29,Lung cancer,cancer,988,B0,0,2,94,0,ST000388,30,64
133,IPO_aligned_ST000388_LC,0.5950697450697451,0.0623072119495684,65,29,Lung cancer,cancer,43044,B1,656,2,94,0,ST000388,30,64
134,AN000625_GC,0.5561728395061728,0.05030456528858258,65,29,Lung cancer,cancer,129,C0,122,2,94,0,ST000389,30,64
135,IPO_aligned_ST000388_GC,0.629028379028379,0.04926366678496741,65,29,Lung cancer,cancer,1984,C1,68,2,94,0,ST000389,30,64
136,AN000628_plasma,0.8174234190717707,0.05715399199618899,41,41,Lung cancer,cancer,158,D0,19,2,82,25,ST000392,26,56
137,AN000628_serum,0.7163486696453729,0.07101108691043696,41,41,Lung cancer,cancer,158,D1,28,2,82,11,ST000392,26,56
138,IPO_aligned_ST000392_plasma,0.6389425592722296,0.16610499382798202,41,41,Lung cancer,cancer,1966,D2,217,2,82,25,ST000392,26,56
139,IPO_aligned_ST000392_serum,0.47800185162822517,0.08963629692915961,41,41,Lung cancer,cancer,701,D3,394,2,82,0,ST000392,26,56
140,AN000633,0.5267991727206348,0.04913414862363484,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,129,E0,122,2,299,0,ST000396,99,200
141,IPO_aligned_ST000396,0.49158249158249157,0.015959362309432134,100,199,"lung cancer - non-small-cell lung cancer (adenocarcinoma, etc)",cancer,796,E1,730,2,299,0,ST000396,99,200
142,AN000705,0.8581196581196581,0.023061089851678707,45,39,Chronic fatigue,other,215,F0,26,2,84,40,ST000450,28,56
143,AN000706,0.5709401709401709,0.08261911776816803,45,39,Chronic fatigue,other,206,F1,45,2,84,0,ST000450,28,56
144,AN000888,0.9985561517251659,0.0010316712790789638,214,20,Malaria (P. vivax),infectious,20347,G0,9,2,234,5715,ST000578,77,157
145,AN000889,0.9783702213279678,0.011300194799124263,214,20,Malaria (P. vivax),infectious,16796,G1,114,2,234,5761,ST000578,77,157
146,IPO_aligned_ST000578_AE,0.9993293091884642,0.0009485000418330157,214,20,Malaria (P. vivax),infectious,8473,G2,1,2,234,5576,ST000578,77,157
147,IPO_aligned_ST000578_C18,1.0,0.0,214,20,Malaria (P. vivax),infectious,20666,G3,6,2,234,10225,ST000578,77,157
148,AN000929,0.8379629629629629,0.15727118288391695,10,10,Stability of dried blood samples - diabetic men,metabolic,263,H0,8,2,20,34,ST000608,6,14
149,AN000930,0.9791666666666666,0.02946278254943948,10,10,Stability of dried blood samples - diabetic men,metabolic,73,H1,30,2,20,0,ST000608,6,14
150,AN000931,0.826388888888889,0.13643668544714233,10,10,Stability of dried blood samples - diabetic men,metabolic,86,H2,24,2,20,0,ST000608,6,14
151,AN001201,0.42792792792792794,0.06076908812266685,10,10,scleroderma PAH,autoimmune,138,I0,341,5,218,40,ST000763,70,148
152,AN001202,0.492020592020592,0.05671106587084014,10,10,scleroderma PAH,autoimmune,133,I1,294,5,218,32,ST000763,70,148
153,IPO_aligned_ST000763_untar_neg,0.6332046332046333,0.01790273840829288,10,10,scleroderma PAH,autoimmune,28580,I2,805,5,218,6223,ST000763,70,148
154,IPO_aligned_ST000763_untar_pos,0.6377091377091376,0.05528865257145586,10,10,scleroderma PAH,autoimmune,28673,I3,2676,5,218,6684,ST000763,70,148
155,AN001390all_author,0.6445665445665445,0.10344568501696333,40,44,Hepatocellular Carcinoma,cancer,56,J0,13,2,84,0,ST000865,27,57
156,IPO_aligned_ST000865_batch2_raw,0.5238095238095238,0.2291988742570421,19,22,Hepatocellular Carcinoma,cancer,1949,J1,39,2,41,0,ST000865,13,28
157,IPO_aligned_ST000865_batch3_raw,0.48724489795918363,0.05798546639874937,21,22,Hepatocellular Carcinoma,cancer,1886,J2,68,2,43,0,ST000865,14,29
158,IPO_aligned_ST000865_onebatch,0.5968253968253968,0.07813129474194276,40,44,Hepatocellular Carcinoma,cancer,754,J3,110,2,84,0,ST000865,27,57
159,AN001450,0.9799856743070362,0.007068700071326628,202,190,Lyme disease,infectious,95,K0,42,2,392,87,ST000888,130,262
160,AN001503,0.6976543209876543,0.23096393171530324,29,29,Breast cancer,cancer,77,L0,31,2,58,13,ST000918,18,40
